food_number,food_name,cal_per_hundred
2016,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,93
2017,＜いも類＞じゃがいも　塊茎　生　　　,76
2018,＜いも類＞じゃがいも　塊茎　蒸し　　　,84
2019,＜いも類＞じゃがいも　塊茎　水煮　　　,73
2020,＜いも類＞じゃがいも　フライドポテト　　　,237
2021,＜いも類＞じゃがいも　乾燥マッシュポテト　　　,357
2054,＜いも類＞ヤーコン　塊根　生　　　,54
2055,＜いも類＞ヤーコン　塊根　水煮　　　,44
2022,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,108
2023,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,65
2024,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,59
2025,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,123
2026,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,121
2027,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,109
2028,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,346
2029,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,347
2030,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,366
2031,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,351
2032,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,349
2033,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,332
2034,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,330
2035,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,354
2036,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,356
2037,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,135
2056,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,81
2038,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,355
2057,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,62
2058,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,131
2059,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,353
2060,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,84
2039,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,356
2061,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,84
2040,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,350
2062,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,80
3001,（砂糖類）　黒砂糖　　　,354
3002,（砂糖類）　和三盆糖　　　,383
3003,（砂糖類）　車糖　上白糖　　,384
3004,（砂糖類）　車糖　三温糖　　,382
3005,（砂糖類）　ざらめ糖　グラニュー糖　　,387
3006,（砂糖類）　ざらめ糖　白ざら糖　　,387
3007,（砂糖類）　ざらめ糖　中ざら糖　　,387
3008,（砂糖類）　加工糖　角砂糖　　,387
3009,（砂糖類）　加工糖　氷砂糖　　,387
3010,（砂糖類）　加工糖　コーヒーシュガー　　,387
3011,（砂糖類）　加工糖　粉糖　　,386
3012,（砂糖類）　液糖　しょ糖型液糖　　,271
3013,（砂糖類）　液糖　転化型液糖　　,307
3014,（砂糖類）　氷糖みつ　　　,265
3015,（でん粉糖類）　粉あめ　　　,381
3024,（でん粉糖類）　水あめ　酵素糖化　　,328
3025,（でん粉糖類）　水あめ　酸糖化　　,328
3017,（でん粉糖類）　ぶどう糖　全糖　　,335
3018,（でん粉糖類）　ぶどう糖　含水結晶　　,336
3019,（でん粉糖類）　ぶどう糖　無水結晶　　,367
3020,（でん粉糖類）　果糖　　　,368
3026,（でん粉糖類）　異性化液糖　ぶどう糖果糖液糖　　,276
3027,（でん粉糖類）　異性化液糖　果糖ぶどう糖液糖　　,276
3028,（でん粉糖類）　異性化液糖　高果糖液糖　　,276
3029,（その他）　黒蜜　,199
3022,（その他）　はちみつ　,294
3023,（その他）　メープルシロップ　　　,257
4001,あずき　全粒　乾　　　,339
4002,あずき　全粒　ゆで　　　,143
4003,あずき　ゆで小豆缶詰　　　,218
4004,あずき　あん　こしあん　　,155
4005,あずき　あん　さらしあん　　,385
4006,あずき　あん　つぶしあん　　,244
4007,いんげんまめ　全粒　乾　　　,333
4008,いんげんまめ　全粒　ゆで　　　,143
4009,いんげんまめ　うずら豆　,237
4010,いんげんまめ　こしあん　　　,155
4011,いんげんまめ　豆きんとん　　　,249
4012,えんどう　全粒　青えんどう　乾　　,352
4074,えんどう　全粒　赤えんどう　乾　　,352
4013,えんどう　全粒　青えんどう　ゆで　　,148
4075,えんどう　全粒　赤えんどう　ゆで　　,148
4014,えんどう　グリンピース（揚げ豆）　　　,423
4015,えんどう　塩豆　　　,364
4016,えんどう　うぐいす豆　,240
4017,ささげ　全粒　乾　　　,336
4018,ささげ　全粒　ゆで　　　,145
4019,そらまめ　全粒　乾　　　,348
4020,そらまめ　フライビーンズ　　　,472
4021,そらまめ　おたふく豆　,251
4022,そらまめ　ふき豆　,263
4076,そらまめ　しょうゆ豆　,196
4023,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　乾　,422
4077,だいず　［全粒・全粒製品］　全粒　国産　黒大豆　乾　,414
4024,だいず　［全粒・全粒製品］　全粒　国産　黄大豆　ゆで　,176
4025,だいず　［全粒・全粒製品］　全粒　米国産　黄大豆　乾　,433
4026,だいず　［全粒・全粒製品］　全粒　中国産　黄大豆　乾　,422
4027,だいず　［全粒・全粒製品］　全粒　ブラジル産　黄大豆　乾　,451
4078,だいず　［全粒・全粒製品］　いり大豆　黄大豆　,439
4079,だいず　［全粒・全粒製品］　いり大豆　黒大豆　,442
4080,だいず　［全粒・全粒製品］　いり大豆　青大豆　,435
4028,だいず　［全粒・全粒製品］　水煮缶詰　黄大豆　　,140
4081,だいず　［全粒・全粒製品］　蒸し大豆　黄大豆 　,205
4029,だいず　［全粒・全粒製品］　きな粉　全粒大豆　黄大豆　,450
4082,だいず　［全粒・全粒製品］　きな粉　全粒大豆　青大豆　,431
4030,だいず　［全粒・全粒製品］　きな粉　脱皮大豆　黄大豆　,451
4083,だいず　［全粒・全粒製品］　大豆はいが　　,442
4031,だいず　［全粒・全粒製品］　ぶどう豆　,289
4032,だいず　［豆腐・油揚げ類］　木綿豆腐　,72
4033,だいず　［豆腐・油揚げ類］　絹ごし豆腐　　,56
4034,だいず　［豆腐・油揚げ類］　ソフト豆腐　　,59
4035,だいず　［豆腐・油揚げ類］　充てん豆腐　　,59
4036,だいず　［豆腐・油揚げ類］　沖縄豆腐　　,106
4037,だいず　［豆腐・油揚げ類］　ゆし豆腐　　,50
4038,だいず　［豆腐・油揚げ類］　焼き豆腐　　,88
4039,だいず　［豆腐・油揚げ類］　生揚げ　　,150
4040,だいず　［豆腐・油揚げ類］　油揚げ　生　,410
4084,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生　,288
4085,だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き　,398
