food_number,food_name,cal
02026,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,121
02027,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,109
02028,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,346
02029,＜でん粉・でん粉製品＞（でん粉類）　くずでん粉　　　,347
02030,＜でん粉・でん粉製品＞（でん粉類）　米でん粉　　　,366
02031,＜でん粉・でん粉製品＞（でん粉類）　小麦でん粉　　　,351
02032,＜でん粉・でん粉製品＞（でん粉類）　サゴでん粉　　　,349
02033,＜でん粉・でん粉製品＞（でん粉類）　さつまいもでん粉　　　,332
02034,＜でん粉・でん粉製品＞（でん粉類）　じゃがいもでん粉　　　,330
02035,＜でん粉・でん粉製品＞（でん粉類）　とうもろこしでん粉　　　,354
02036,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　乾　　,356
02037,＜でん粉・でん粉製品＞（でん粉製品）　くずきり　ゆで　　,135
02056,＜でん粉・でん粉製品＞（でん粉製品）　ごま豆腐　　　,81
02038,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　乾　　,355
02057,＜でん粉・でん粉製品＞（でん粉製品）　タピオカパール　ゆで　　,62
02058,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　生　　,131
02059,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　　,353
02060,＜でん粉・でん粉製品＞（でん粉製品）　でん粉めん　乾　ゆで　　,84
02039,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　乾　,356
02061,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　緑豆はるさめ　ゆで　,84
02040,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　乾　,350
02062,＜でん粉・でん粉製品＞（でん粉製品）　はるさめ　普通はるさめ　ゆで　,80
03001,（砂糖類）　黒砂糖　　　,354
03002,（砂糖類）　和三盆糖　　　,383
03003,（砂糖類）　車糖　上白糖　　,384
03004,（砂糖類）　車糖　三温糖　　,382
03005,（砂糖類）　ざらめ糖　グラニュー糖　　,387
03006,（砂糖類）　ざらめ糖　白ざら糖　　,387
03007,（砂糖類）　ざらめ糖　中ざら糖　　,387
03008,（砂糖類）　加工糖　角砂糖　　,387
03009,（砂糖類）　加工糖　氷砂糖　　,387
03010,（砂糖類）　加工糖　コーヒーシュガー　　,387
03011,（砂糖類）　加工糖　粉糖　　,386
03012,（砂糖類）　液糖　しょ糖型液糖　　,271
03013,（砂糖類）　液糖　転化型液糖　　,307
03014,（砂糖類）　氷糖みつ　　　,265
03015,（でん粉糖類）　粉あめ　　　,381
03024,（でん粉糖類）　水あめ　酵素糖化　　,328
03025,（でん粉糖類）　水あめ　酸糖化　　,328
